Task ID,Task Understanding,Document Selection,Information Retrieval,Source Fidelity,Safety & Boundaries,Communicative Adequacy,Average,Overall Result,Failure Labels
task_001,4,4,2,4,4,2,3.33,Partially successful,"weak_retrieval, missing_next_steps"
task_002,1,1,1,2,4,1,1.67,Failed,"misunderstood_intent, wrong_document_selected, missing_relevant_document, irrelevant_retrieval, missing_key_information, overgeneralization, low_user_usefulness, missing_next_steps"
task_003,4,4,4,2,4,2,3.33,Partially successful,"missing_key_information, overgeneralization, missing_next_steps, low_user_usefulness"
task_004,4,4,2,4,4,4,3.67,Successful,weak_retrieval
task_005,4,4,4,4,4,2,3.67,Partially successful,"missing_next_steps, low_user_usefulness"
task_006,4,4,2,2,4,4,3.33,Partially successful,"weak_retrieval, missing_key_information"
task_007,4,4,2,2,4,2,3.0,Partially successful,"weak_retrieval, missing_key_information, missing_next_steps, low_user_usefulness"
task_008,4,4,4,4,4,2,3.67,Partially successful,"missing_next_steps, low_user_usefulness"
task_009,1,1,1,2,4,1,1.67,Failed,"misunderstood_intent, wrong_document_selected, missing_relevant_document, irrelevant_retrieval, missing_key_information, overgeneralization, low_user_usefulness, missing_next_steps"
task_010,4,4,4,4,4,3,3.83,Successful,missing_next_steps
